"[13267422.88,291507.6348]","[13266131.13,291424.5608]","[13266095.98,292745.8846]","[13267371.1,292831.0182]","[13267422.88,291507.6348]",
"[13327896.34,216516.2308]","[13326571.19,216480.7959]","[13326520.01,217804.4719]","[13327843.8,217837.1949]","[13327896.34,216516.2308]",
"[13277521.52,333728.9917]","[13276267.54,333660.9153]","[13276218.14,334979.9092]","[13277467.47,335047.7944]","[13277521.52,333728.9917]",
"[13214376.8,238342.9825]","[13213030.91,238309.8958]","[13212984.3,239629.0019]","[13214329.68,239662.0714]","[13214376.8,238342.9825]",
"[13208674.73,246644.0038]","[13207326.82,246599.8516]","[13207278.01,247936.695]","[13208623.17,247981.3471]","[13208674.73,246644.0038]",
"[13203949.14,281599.129]","[13202617.98,281568.7468]","[13202585.84,282908.8548]","[13203924.33,282938.8895]","[13203949.14,281599.129]",
"[13258030.46,299135.8079]","[13256685.19,299094.4283]","[13256655.85,300425.0064]","[13258006.14,300463.5139]","[13258030.46,299135.8079]",
"[13224036.2,280575.8361]","[13222698.62,280550.1403]","[13222676.05,281848.0469]","[13224028.78,281880.0924]","[13224036.2,280575.8361]",
"[13216266.26,268474.9852]","[13214878.82,268434.8237]","[13214846.65,269754.3607]","[13216235.28,269794.5487]","[13216266.26,268474.9852]",
"[13209989.59,248019.4921]","[13208623.17,247981.3471]","[13208571.61,249318.6907]","[13209941.02,249360.8468]","[13209989.59,248019.4921]",
"[13261098.47,280600.5015]","[13259777.93,280558.8424]","[13259750.92,281872.2455]","[13261074.97,281913.938]","[13261098.47,280600.5015]",
"[13192019.26,314367.8787]","[13190693.52,314319.0398]","[13190694.8,315646.6292]","[13192013.88,315695.2903]","[13192019.26,314367.8787]",
"[13344398.98,289459.8433]","[13343062.51,289419.612]","[13343003.6,290735.4917]","[13344342.55,290773.6928]","[13344398.98,289459.8433]",
"[13224480.35,264040.9845]","[13223160.63,264016.7979]","[13223125.07,265333.1789]","[13224444.84,265350.249]","[13224480.35,264040.9845]",
"[13194732.85,262270.695]","[13193382.93,262237.5684]","[13193356.99,263567.6514]","[13194708.04,263602.5335]","[13194732.85,262270.695]",
"[13256963.7,311850.0429]","[13255642.79,311825.8438]","[13255577.78,313165.9046]","[13256907.07,313184.885]","[13256963.7,311850.0429]",
"[13232115.41,315990.8011]","[13232153.46,314665.3726]","[13230888.71,314662.3356]","[13230852.89,315989.2775]","[13232115.41,315990.8011]",
"[13292636.96,339039.8615]","[13293710.77,339094.8081]","[13292636.99,339039.2974]","[13292636.96,339039.8615]"
"[13304958.94,237433.3329]","[13303557.36,237368.2834]","[13303509.02,238696.6734]","[13304918.63,238764.2961]","[13304958.94,237433.3329]",
"[13199064.11,215360.9771]","[13197740.06,215329.1486]","[13197704.84,216658.5009]","[13199025.51,216692.0814]","[13199064.11,215360.9771]",
"[13245981.87,221046.759]","[13244664.76,221009.6924]","[13244635.46,222338.1021]","[13245952.7,222374.6688]","[13245981.87,221046.759]",
"[13321208.2,219003.996]","[13319888.97,218960.5019]","[13319836.31,220285.4496]","[13321155.64,220324.8037]","[13321208.2,219003.996]",
"[13304467.22,310004.4442]","[13303121.11,309943.5771]","[13303055.75,311281.743]","[13304407.09,311338.8085]","[13304467.22,310004.4442]",
"[13248763.2,251486.315]","[13247441.84,251423.6259]","[13247391.57,252769.7295]","[13248711.68,252835.676]","[13248763.2,251486.315]",
"[13342216.52,336822.8316]","[13340886.96,336751.2814]","[13340818.62,338086.7564]","[13342146.57,338155.3513]","[13342216.52,336822.8316]",
"[13237802.46,297042.9027]","[13236466.45,297032.1841]","[13236406.82,298360.1702]","[13237742.17,298369.7122]","[13237802.46,297042.9027]",
"[13235107.3,264388.1411]","[13233778.43,264348.0047]","[13233738.41,265679.4491]","[13235064.78,265718.958]","[13235107.3,264388.1411]",
"[13188425.63,248730.6362]","[13186592.88,248693.9562]","[13186617.54,249355.8177]","[13186642.19,250025.9905]","[13188392.23,250064.2902]","[13188425.63,248730.6362]"
"[13198312.53,208636.4412]","[13197013.1,208626.0431]","[13197012.99,208630.5495]","[13197957.06,208639.5884]","[13198312.34,208642.9903]","[13198312.53,208636.4412]"
"[13284424.83,297647.6923]","[13283106.33,297585.3342]","[13283054.89,298926.3179]","[13284373.68,298980.7633]","[13284424.83,297647.6923]",
"[13245125.99,281333.6136]","[13243803.71,281289.3096]","[13243748.05,282612.5253]","[13245063.12,282655.737]","[13245125.99,281333.6136]",
"[13236523.13,260420.0214]","[13235225.87,260377.6424]","[13235186.34,261714.4748]","[13236481.48,261756.6024]","[13236523.13,260420.0214]",
"[13295662.98,227768.8049]","[13294322.87,227702.6195]","[13294274.28,229037.8925]","[13295615.64,229097.3206]","[13295662.98,227768.8049]",
"[13298808.07,319035.1294]","[13297478.49,318935.8499]","[13297397,320241.8495]","[13298750.22,320345.5654]","[13298808.07,319035.1294]",
